warning_type,tier,tier_weight,file,line,column,message,compile_unit,loc_file
unused_variable,B,1,bia_behres.f,12,44,Unused variable 'iloglen' declared at (1) [-Wunused-variable],bia_behres.f,bia_behres.f
unused_variable,B,1,bia_johnson.f,5,18,Unused variable 'ispc' declared at (1) [-Wunused-variable],bia_johnson.f,bia_johnson.f
unused_variable,B,1,bia_johnson.f,6,40,Unused variable 'loglength' declared at (1) [-Wunused-variable],bia_johnson.f,bia_johnson.f
unused_variable,B,1,bia_johnson.f,7,17,Unused variable 'mincufttop' declared at (1) [-Wunused-variable],bia_johnson.f,bia_johnson.f
unused_variable,B,1,bia_johnson.f,7,27,Unused variable 'strvoleq' declared at (1) [-Wunused-variable],bia_johnson.f,bia_johnson.f
unused_variable,B,1,blmtap.f,15,48,Unused variable 'profileht' declared at (1) [-Wunused-variable],blmtap.f,blmtap.f
unused_variable,B,1,blmtap.f,277,53,Unused variable 'dbhib' declared at (1) [-Wunused-variable],blmtap.f,blmtap.f
type_conversion,A,3,blmvol.f,726,13,Possible change of value in conversion from REAL(4) to INTEGER(4) at (1) [-Wconversion],blmvol.f,blmvol.f
unused_dummy_argument,B,1,blmvol.f,648,50,Unused dummy argument 'tlh' at (1) [-Wunused-dummy-argument],blmvol.f,blmvol.f
unused_variable,B,1,blmvol.f,31,49,Unused variable 'itaper' declared at (1) [-Wunused-variable],blmvol.f,blmvol.f
unused_variable,B,1,blmvol.f,30,60,Unused variable 'lcnt' declared at (1) [-Wunused-variable],blmvol.f,blmvol.f
unused_variable,B,1,brown.f,71,24,Unused variable 'prop' declared at (1) [-Wunused-variable],brown.f,brown.f
unused_variable,B,1,brown.f,865,25,Unused variable 'lcw' declared at (1) [-Wunused-variable],brown.f,brown.f
type_conversion,A,3,calcbiomass.f,451,16,Possible change of value in conversion from REAL(4) to INTEGER(4) at (1) [-Wconversion],calcbiomass.f,calcbiomass.f
large_stack_array,C,0,wdbkwtdata.inc,19,27,"Array 'wdbkwt' at (1) is larger than limit set by '-fmax-stack-var-size=', moved from stack to static storage. This makes the procedure unsafe when called recursively, or concurrently from multiple threads. Consider increasing the '-fmax-stack-var-size=' limit (or use '-frecursive', which implies unlimited '-fmax-stack-var-size') - or change the code to use an ALLOCATABLE array. If the variable is never accessed concurrently, this warning can be ignored, and the variable could also be declared with the SAVE attribute. [-Wsurprising]",calcbiomass.f,wdbkwtdata.inc
unused_variable,B,1,calcbiomass.f,60,43,Unused variable 'biounit' declared at (1) [-Wunused-variable],calcbiomass.f,calcbiomass.f
unused_variable,B,1,calcbiomass.f,61,26,Unused variable 'diatype' declared at (1) [-Wunused-variable],calcbiomass.f,calcbiomass.f
unused_variable,B,1,calcbiomass.f,60,26,Unused variable 'diaunit' declared at (1) [-Wunused-variable],calcbiomass.f,calcbiomass.f
unused_variable,B,1,calcbiomass.f,65,21,Unused variable 'eqform' declared at (1) [-Wunused-variable],calcbiomass.f,calcbiomass.f
unused_variable,B,1,calcbiomass.f,62,39,Unused variable 'ft2cm' declared at (1) [-Wunused-variable],calcbiomass.f,calcbiomass.f
unused_variable,B,1,calcbiomass.f,62,33,Unused variable 'ft2m' declared at (1) [-Wunused-variable],calcbiomass.f,calcbiomass.f
unused_variable,B,1,calcbiomass.f,62,50,Unused variable 'g2lb' declared at (1) [-Wunused-variable],calcbiomass.f,calcbiomass.f
unused_variable,B,1,calcbiomass.f,61,34,Unused variable 'httype' declared at (1) [-Wunused-variable],calcbiomass.f,calcbiomass.f
unused_variable,B,1,calcbiomass.f,60,34,Unused variable 'htunit' declared at (1) [-Wunused-variable],calcbiomass.f,calcbiomass.f
unused_variable,B,1,calcbiomass.f,62,17,Unused variable 'in2cm' declared at (1) [-Wunused-variable],calcbiomass.f,calcbiomass.f
unused_variable,B,1,calcbiomass.f,62,28,Unused variable 'in2m' declared at (1) [-Wunused-variable],calcbiomass.f,calcbiomass.f
unused_variable,B,1,calcbiomass.f,62,23,Unused variable 'in2mm' declared at (1) [-Wunused-variable],calcbiomass.f,calcbiomass.f
unused_variable,B,1,calcbiomass.f,65,43,Unused variable 'isint' declared at (1) [-Wunused-variable],calcbiomass.f,calcbiomass.f
unused_variable,B,1,calcbiomass.f,62,45,Unused variable 'kg2lb' declared at (1) [-Wunused-variable],calcbiomass.f,calcbiomass.f
unused_variable,B,1,calcbiomass.f,65,37,Unused variable 'len' declared at (1) [-Wunused-variable],calcbiomass.f,calcbiomass.f
unused_variable,B,1,calcbiomass.f,63,22,Unused variable 'mc' declared at (1) [-Wunused-variable],calcbiomass.f,calcbiomass.f
unused_variable,B,1,calcbiomass.f,62,56,Unused variable 'mg2lb' declared at (1) [-Wunused-variable],calcbiomass.f,calcbiomass.f
unused_variable,B,1,calcbiomass.f,63,18,Unused variable 'sg' declared at (1) [-Wunused-variable],calcbiomass.f,calcbiomass.f
unused_variable,B,1,calcbiomass.f,59,34,Unused variable 'spec' declared at (1) [-Wunused-variable],calcbiomass.f,calcbiomass.f
large_stack_array,C,0,bioeqcoef.inc,4,27,"Array 'beqcoef' at (1) is larger than limit set by '-fmax-stack-var-size=', moved from stack to static storage. This makes the procedure unsafe when called recursively, or concurrently from multiple threads. Consider increasing the '-fmax-stack-var-size=' limit (or use '-frecursive', which implies unlimited '-fmax-stack-var-size') - or change the code to use an ALLOCATABLE array. If the variable is never accessed concurrently, this warning can be ignored, and the variable could also be declared with the SAVE attribute. [-Wsurprising]",calcbiomass.f,bioeqcoef.inc
large_stack_array,C,0,bioeqinfo.inc,10,33,"Array 'biomseq' at (1) is larger than limit set by '-fmax-stack-var-size=', moved from stack to static storage. This makes the procedure unsafe when called recursively, or concurrently from multiple threads. Consider increasing the '-fmax-stack-var-size=' limit (or use '-frecursive', which implies unlimited '-fmax-stack-var-size') - or change the code to use an ALLOCATABLE array. If the variable is never accessed concurrently, this warning can be ignored, and the variable could also be declared with the SAVE attribute. [-Wsurprising]",calcbiomass.f,bioeqinfo.inc
unused_variable,B,1,calcbiomass.f,367,21,Unused variable 'mc' declared at (1) [-Wunused-variable],calcbiomass.f,calcbiomass.f
unused_variable,B,1,calcbiomass.f,367,17,Unused variable 'sg' declared at (1) [-Wunused-variable],calcbiomass.f,calcbiomass.f
unused_variable,B,1,calcbiomass.f,363,19,Unused variable 'stems' declared at (1) [-Wunused-variable],calcbiomass.f,calcbiomass.f
unused_variable,B,1,calcbiomass.f,495,39,Unused variable 'nvelbeq' declared at (1) [-Wunused-variable],calcbiomass.f,calcbiomass.f
unused_variable,B,1,calcbiomass.f,546,34,Unused variable 'bioeq' declared at (1) [-Wunused-variable],calcbiomass.f,calcbiomass.f
tab_character,B,1,calcdia.f,232,13,Nonconforming tab character at (1) [-Wtabs],calcdia.f,calcdia.f
